Tax Year,Resident Type,Place of Residence,Country,State,County,Disclosure,Number of All Returns,NY AGI of All Returns (in thousands) *,Tax Liability of All Returns (in thousands) **,Number of Taxable Returns,NY AGI of Taxable Returns (in thousands) *,Tax Liability of Taxable Returns (in thousands) **,Number of Nontaxable Returns,NY AGI of Nontaxable Returns (in thousands) *,Tax Liability of Nontaxable Returns (in thousands) **,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2002,Full-Year Resident,Schenectady,United States,New York,Schenectady,,"67,990","2,760,953","110,831","48,139","2,615,002","114,892","19,851","145,952",,"40,608","1,630","54,322","2,387","7,352",48
2002,Full-Year Resident,Schoharie,United States,New York,Schoharie,,"12,799","421,373","14,053","8,643","389,196","15,011","4,156","32,177",,"32,922","1,098","45,030","1,737","7,742",49
2002,Full-Year Resident,Schuyler,United States,New York,Schuyler,,"7,849","245,728","7,821","5,141","224,453","8,416","2,708","21,275",,"31,307",996,"43,659","1,637","7,856",50
2002,Full-Year Resident,Seneca,United States,New York,Seneca,,"14,044","435,452","13,506","9,137","394,473","14,832","4,907","40,979",,"31,006",962,"43,173","1,623","8,351",51
2002,Full-Year Resident,Steuben,United States,New York,Steuben,,"40,685","1,377,367","46,734","26,571","1,264,506","50,161","14,114","112,861",,"33,854","1,149","47,590","1,888","7,996",52
2002,Full-Year Resident,Suffolk,United States,New York,Suffolk,,"657,029","37,568,954","1,681,019","497,635","36,346,588","1,706,742","159,394","1,222,366",,"57,180","2,559","73,039","3,430","7,669",53
2002,Full-Year Resident,Sullivan,United States,New York,Sullivan,,"30,267","1,066,555","36,510","19,804","979,297","39,234","10,463","87,258",,"35,238","1,206","49,449","1,981","8,340",54
2002,Full-Year Resident,Tioga,United States,New York,Tioga,,"21,592","771,447","26,044","14,720","707,188","27,476","6,872","64,259",,"35,728","1,206","48,043","1,867","9,351",55
2002,Full-Year Resident,Tompkins,United States,New York,Tompkins,,"34,909","1,476,145","60,371","25,660","1,408,934","62,041","9,249","67,211",,"42,286","1,729","54,908","2,418","7,267",56
2002,Full-Year Resident,Ulster,United States,New York,Ulster,,"76,431","2,988,100","114,972","54,196","2,823,259","119,147","22,235","164,842",,"39,095","1,504","52,093","2,198","7,414",57
2002,Full-Year Resident,Warren,United States,New York,Warren,,"29,260","1,137,800","44,458","20,180","1,070,187","46,176","9,080","67,613",,"38,886","1,519","53,032","2,288","7,446",58
2002,Full-Year Resident,Washington,United States,New York,Washington,,"25,121","803,950","24,762","16,993","735,234","26,786","8,128","68,716",,"32,003",986,"43,267","1,576","8,454",59
2002,Full-Year Resident,Wayne,United States,New York,Wayne,,"40,824","1,508,474","54,026","29,193","1,416,056","56,853","11,631","92,418",,"36,951","1,323","48,507","1,947","7,946",60
2002,Full-Year Resident,Westchester,United States,New York,Westchester,,"416,693","39,273,800","1,969,959","308,574","38,398,380","1,991,521","108,119","875,419",,"94,251","4,728","124,438","6,454","8,097",61
2002,Full-Year Resident,Wyoming,United States,New York,Wyoming,,"17,275","575,550","18,734","12,166","532,462","20,261","5,109","43,087",,"33,317","1,084","43,766","1,665","8,434",62
2002,Full-Year Resident,Yates,United States,New York,Yates,,"10,017","301,209","8,857","6,345","268,257","9,962","3,672","32,952",,"30,070",884,"42,278","1,570","8,974",63
2002,Full-Year Resident,"Total, Counties Outside of New York City",United States,New York,"Total, Counties Outside of New York City",,"4,801,483","246,723,471","10,625,158","3,448,875","236,275,469","10,910,752","1,352,608","10,448,003",,"51,385","2,213","68,508","3,164","7,724",64
2002,Full-Year Resident,NYS Unclassified +,United States,New York,NYS Unclassified +,,"6,624","309,290","13,338","5,618","301,451","13,530","1,006","7,839",,"46,692","2,014","53,658","2,408","7,792",65
2002,Full-Year Resident,Residence Unknown ++,United States,New York,Residence Unknown ++,,"20,820","1,545,833","75,157","17,018","1,514,924","75,635","3,802","30,910",,"74,248","3,610","89,019","4,444","8,130",66
2002,Full-Year Resident,"Grand Total, Full-Year Resident",United States,New York,"Grand Total, Full-Year Resident",,"8,029,771","408,860,102","17,469,989","5,544,217","387,695,675","18,143,258","2,485,554","21,164,428","-673,270","50,918","2,176","69,928","3,272","8,515",67
2002,Full-Year Nonresident,Arizona,United States,Arizona,All,,"2,583","614,881","6,091","1,854","538,535","6,098",729,"76,346",,"238,049","2,358","290,472","3,289","104,727",102
2002,Full-Year Nonresident,California,United States,California,All,,"19,476","13,713,796","71,442","14,534","10,666,855","72,613","4,942","3,046,941",,"704,138","3,668","733,924","4,996","616,540",104
2002,Full-Year Nonresident,Colorado,United States,Colorado,All,,"2,452","1,520,753","6,840","1,830","674,603","6,884",622,"846,150",,"620,209","2,790","368,636","3,762","1,360,370",105
2002,Full-Year Nonresident,Connecticut,United States,Connecticut,All,,"64,139","19,575,722","611,245","59,021","18,709,172","611,579","5,118","866,550",,"305,208","9,530","316,992","10,362","169,314",106
2002,Full-Year Nonresident,Delaware,United States,Delaware,All,,"1,114","189,340","3,423",913,"176,062","3,423",201,"13,277",,"169,964","3,073","192,839","3,749","66,055",107
2002,Full-Year Nonresident,District of Columbia,United States,District of Columbia,All,,"1,495","988,397","13,736","1,248","898,518","13,736",247,"89,879",,"661,135","9,188","719,966","11,006","363,883",108
2002,Full-Year Nonresident,Florida,United States,Florida,All,,"26,105","8,512,743","89,936","18,742","6,738,215","90,565","7,363","1,774,528",,"326,096","3,445","359,525","4,832","241,006",109
2002,Full-Year Nonresident,Georgia,United States,Georgia,All,,"5,668","1,160,941","7,795","3,802","907,425","7,818","1,866","253,516",,"204,824","1,375","238,670","2,056","135,861",110
2002,Full-Year Nonresident,Illinois,United States,Illinois,All,,"6,964","5,233,247","22,287","5,739","3,967,652","22,319","1,225","1,265,595",,"751,471","3,200","691,349","3,889","1,033,139",113
2013,Full-Year Resident,Cortland,United States,New York,Cortland,,"20,070","820,737.37","28,020.11","13,365","759,911.30","31,714.40","6,705","60,826.07","-3,694.29","40,894","1,396","56,858","2,373","9,072",17
2002,Full-Year Nonresident,Indiana,United States,Indiana,All,,"1,099","544,009","1,436",858,"319,016","1,436",241,"224,993",,"495,004","1,307","371,814","1,674","933,581",114
2002,Full-Year Nonresident,Maine,United States,Maine,All,,"1,381","190,135","2,935","1,117","167,021","2,935",264,"23,114",,"137,679","2,125","149,526","2,628","87,553",119
2002,Full-Year Nonresident,Maryland,United States,Maryland,All,,"5,635","1,745,858","18,846","4,325","1,492,268","18,939","1,310","253,590",,"309,824","3,344","345,033","4,379","193,580",120
2002,Full-Year Nonresident,Massachusetts,United States,Massachusetts,All,,"12,126","4,371,383","32,049","9,988","3,133,731","32,391","2,138","1,237,652",,"360,497","2,643","313,750","3,243","578,883",121
2002,Full-Year Nonresident,Michigan,United States,Michigan,All,,"2,473","1,246,764","5,596","1,928","884,790","5,600",545,"361,973",,"504,150","2,263","458,916","2,905","664,171",122
2002,Full-Year Nonresident,Minnesota,United States,Minnesota,All,,"1,469","659,160","3,746","1,147","561,542","3,755",322,"97,618",,"448,713","2,550","489,575","3,274","303,161",123
2002,Full-Year Nonresident,Missouri,United States,Missouri,All,,"1,461","459,070","2,225","1,139","348,736","2,230",322,"110,334",,"314,216","1,523","306,177","1,958","342,652",125
2002,Full-Year Nonresident,Nevada,United States,Nevada,All,,"1,139","551,649","3,495",782,"321,715","3,529",357,"229,934",,"484,327","3,068","411,400","4,513","644,073",128
2002,Full-Year Nonresident,New Hampshire,United States,New Hampshire,All,,"1,636","461,521","3,238","1,296","287,210","3,240",340,"174,311",,"282,103","1,979","221,613","2,500","512,679",129
2002,Full-Year Nonresident,New Jersey,United States,New Jersey,All,,"318,479","45,679,308","1,611,503","294,612","44,198,372","1,611,610","23,867","1,480,936",,"143,430","5,060","150,022","5,470","62,050",130
2002,Full-Year Nonresident,North Carolina,United States,North Carolina,All,,"5,894","1,181,099","10,498","3,887","957,461","10,526","2,007","223,638",,"200,390","1,781","246,324","2,708","111,429",132
2002,Full-Year Nonresident,Ohio,United States,Ohio,All,,"3,401","1,832,621","7,382","2,611","1,494,938","7,455",790,"337,683",,"538,848","2,171","572,554","2,855","427,447",134
2002,Full-Year Nonresident,Pennsylvania,United States,Pennsylvania,All,,"43,928","5,311,096","91,026","37,365","4,637,413","91,274","6,563","673,683",,"120,905","2,072","124,111","2,443","102,649",137
2002,Full-Year Nonresident,Rhode Island,United States,Rhode Island,All,,"1,663","402,559","3,506","1,301","232,070","3,606",362,"170,490",,"242,068","2,108","178,378","2,772","470,967",138
2002,Full-Year Nonresident,South Carolina,United States,South Carolina,All,,"2,325","321,048","4,193","1,509","262,084","4,205",816,"58,964",,"138,085","1,803","173,681","2,787","72,260",139
2002,Full-Year Nonresident,Tennessee,United States,Tennessee,All,,"1,391","438,021","2,473","1,060","383,479","2,476",331,"54,543",,"314,896","1,778","361,773","2,336","164,782",141
2002,Full-Year Nonresident,Texas,United States,Texas,All,,"5,625","4,524,387","15,599","4,285","2,860,447","15,602","1,340","1,663,940",,"804,335","2,773","667,549","3,641","1,241,746",142
2002,Full-Year Nonresident,Vermont,United States,Vermont,All,,"4,163","471,264","7,230","3,501","432,686","7,248",662,"38,577",,"113,203","1,737","123,589","2,070","58,273",144
2002,Full-Year Nonresident,Virginia,United States,Virginia,All,,"7,279","2,426,142","20,764","5,400","1,877,694","20,767","1,879","548,448",,"333,307","2,853","347,721","3,846","291,883",145
2002,Full-Year Nonresident,Washington,United States,Washington,All,,"1,689","3,090,585","4,192","1,209","2,886,512","4,198",480,"204,073",,"1,829,831","2,482","2,387,520","3,472","425,152",146
2002,Full-Year Nonresident,Wisconsin,United States,Wisconsin,All,,"1,133","436,505","1,554",877,"356,321","1,554",256,"80,184",,"385,265","1,372","406,295","1,772","313,219",148
2002,Full-Year Nonresident,All Other States,United States,All Other States,All,,"9,821","2,899,546","13,571","7,030","2,138,978","13,590","2,791","760,569",,"295,239","1,382","304,264","1,933","272,508",150
2002,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,,"1,221","90,733","2,994",899,"87,120","2,994",322,"3,613",,"74,310","2,452","96,908","3,330","11,220",200
2002,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,,621,"16,986",314,271,"15,355",314,350,"1,631",,"27,353",506,"56,661","1,159","4,660",201
2002,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,,464,"58,026","1,835",328,"52,886","1,835",136,"5,140",,"125,056","3,955","161,238","5,595","37,794",202
2002,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,,574,"41,607","1,356",304,"37,494","1,356",270,"4,113",,"72,486","2,362","123,336","4,461","15,233",203
2002,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,,"1,419","10,626",173,145,"4,735",173,"1,274","5,891",,"7,488",122,"32,655","1,193","4,624",205
2002,Full-Year Nonresident,All Other Countries +++,All Other Countries +++,Not Applicable,Not Applicable,,"20,209","2,850,442","58,723","11,988","2,644,362","58,853","8,221","206,080",,"141,048","2,906","220,584","4,909","25,068",213
2002,Full-Year Nonresident,Residence Unknown ++++,Residence Unknown ++++,Not Applicable,Not Applicable,,"33,637","5,500,876","130,050","24,392","5,122,532","130,151","9,245","378,344",,"163,536","3,866","210,009","5,336","40,924",214
2002,Full-Year Nonresident,"Grand Total, Full-Year Nonresident",All,All - Excluding New York,"Grand Total, Full-Year Nonresident",,"623,351","139,322,848","2,895,298","533,237","121,476,004","2,898,880","90,114","17,846,844","-3,582","223,506","4,645","227,809","5,436","198,047",215
2002,Part-Year Resident,"Grand Total, Part-Year Resident",All,All - Excluding New York,"Grand Total, Part-Year Resident",,"179,189","11,846,311","350,346","143,649","11,237,107","355,231","35,540","609,204","-4,885","66,111","1,955","78,226","2,473","17,141",250
2002,"Grand Total, Total","Grand Total, Total",All,All,"Grand Total, Total",,"8,832,311","560,029,261","20,715,633","6,221,103","520,408,786","21,397,369","2,611,208","39,620,475","-681,737","63,407","2,345","83,652","3,439","15,173",299
2001,Full-Year Resident,New York City - Bronx,United States,New York,Bronx,,"475,515","13,372,545","327,541","277,703","11,384,356","416,430","197,812","1,988,189",,"28,122",689,"40,995","1,500","10,051",1
2001,Full-Year Resident,New York City - Kings,United States,New York,Kings,,"915,872","31,845,251","1,075,785","581,248","28,724,463","1,191,963","334,624","3,120,787",,"34,770","1,175","49,419","2,051","9,326",2
2001,Full-Year Resident,New York City - Manhattan,United States,New York,Manhattan,,"742,306","84,451,495","4,631,562","535,676","82,571,058","4,694,811","206,630","1,880,437",,"113,769","6,239","154,144","8,764","9,101",3
2001,Full-Year Resident,New York City - Queens,United States,New York,Queens,,"880,485","31,083,505","1,102,126","599,466","28,650,266","1,172,118","281,030","2,433,239",,"35,303","1,252","47,793","1,955","8,658",4
2001,Full-Year Resident,New York City - Richmond,United States,New York,Richmond,,"188,038","9,374,845","391,308","142,589","9,045,535","399,612","45,449","329,309",,"49,856","2,081","63,438","2,803","7,246",5
2001,Full-Year Resident,"Total, New York City",United States,New York,"Total, New York City",,"3,202,216","170,127,639","7,528,323","2,136,671","160,375,678","7,874,933","1,065,545","9,751,961",,"53,128","2,351","75,059","3,686","9,152",6
2001,Full-Year Resident,Albany,United States,New York,Albany,,"133,118","5,854,963","253,217","98,955","5,623,001","258,918","34,163","231,961",,"43,983","1,902","56,824","2,617","6,790",7
2001,Full-Year Resident,Allegany,United States,New York,Allegany,,"17,745","536,943","16,631","11,743","488,405","17,869","6,002","48,538",,"30,259",937,"41,591","1,522","8,087",8
2001,Full-Year Resident,Broome,United States,New York,Broome,,"87,100","3,078,276","117,443","60,754","2,893,625","121,578","26,346","184,651",,"35,342","1,348","47,629","2,001","7,009",9
2001,Full-Year Resident,Cattaraugus,United States,New York,Cattaraugus,,"33,304","1,005,044","31,614","22,104","914,388","33,934","11,200","90,656",,"30,178",949,"41,368","1,535","8,094",10
2001,Full-Year Resident,Cayuga,United States,New York,Cayuga,,"32,912","1,093,746","37,231","23,174","1,013,140","39,748","9,738","80,606",,"33,232","1,131","43,719","1,715","8,277",11
2001,Full-Year Resident,Chautauqua,United States,New York,Chautauqua,,"55,706","1,712,125","54,421","37,052","1,560,445","58,472","18,654","151,681",,"30,735",977,"42,115","1,578","8,131",12
2001,Full-Year Resident,Chemung,United States,New York,Chemung,,"37,603","1,355,816","50,426","25,776","1,264,418","52,871","11,827","91,398",,"36,056","1,341","49,054","2,051","7,728",13
2001,Full-Year Resident,Chenango,United States,New York,Chenango,,"21,154","654,817","20,826","14,191","596,431","22,659","6,963","58,386",,"30,955",984,"42,029","1,597","8,385",14
2001,Full-Year Resident,Clinton,United States,New York,Clinton,,"32,063","1,114,954","39,610","23,081","1,041,620","41,372","8,982","73,334",,"34,774","1,235","45,129","1,792","8,165",15
2001,Full-Year Resident,Columbia,United States,New York,Columbia,,"26,980","1,100,598","42,626","19,332","1,037,359","44,091","7,648","63,239",,"40,793","1,580","53,660","2,281","8,269",16
2001,Full-Year Resident,Cortland,United States,New York,Cortland,,"19,318","640,636","21,857","13,675","594,806","23,241","5,643","45,830",,"33,163","1,131","43,496","1,700","8,122",17
2001,Full-Year Resident,Delaware,United States,New York,Delaware,,"19,322","577,826","18,573","12,402","525,981","19,955","6,920","51,845",,"29,905",961,"42,411","1,609","7,492",18
2001,Full-Year Resident,Dutchess,United States,New York,Dutchess,,"119,796","6,139,183","267,580","92,665","5,950,972","271,469","27,131","188,210",,"51,247","2,234","64,220","2,930","6,937",19
2001,Full-Year Resident,Erie,United States,New York,Erie,,"406,584","15,779,459","630,325","289,292","14,969,620","653,423","117,292","809,839",,"38,810","1,550","51,746","2,259","6,904",20
2001,Full-Year Resident,Essex,United States,New York,Essex,,"16,191","527,488","18,131","11,120","491,178","18,912","5,071","36,310",,"32,579","1,120","44,171","1,701","7,160",21
2001,Full-Year Resident,Franklin,United States,New York,Franklin,,"18,432","557,838","17,537","12,253","507,914","19,167","6,179","49,923",,"30,265",951,"41,452","1,564","8,079",22
2001,Full-Year Resident,Fulton,United States,New York,Fulton,,"22,981","736,352","25,125","15,788","680,068","26,537","7,193","56,284",,"32,042","1,093","43,075","1,681","7,825",23
2001,Full-Year Resident,Genesee,United States,New York,Genesee,,"26,824","897,770","31,512","19,345","843,833","33,058","7,479","53,937",,"33,469","1,175","43,620","1,709","7,212",24
2001,Full-Year Resident,Greene,United States,New York,Greene,,"19,123","660,723","24,361","13,385","621,281","25,242","5,738","39,442",,"34,551","1,274","46,416","1,886","6,874",25
2001,Full-Year Resident,Hamilton,United States,New York,Hamilton,,"2,531","73,560","2,446","1,718","68,418","2,514",813,"5,142",,"29,064",966,"39,824","1,463","6,325",26
2001,Full-Year Resident,Herkimer,United States,New York,Herkimer,,"26,797","802,715","25,101","18,331","735,633","27,078","8,466","67,082",,"29,955",937,"40,131","1,477","7,924",27
2001,Full-Year Resident,Jefferson,United States,New York,Jefferson,,"37,319","1,157,455","37,827","25,056","1,060,817","40,582","12,263","96,638",,"31,015","1,014","42,338","1,620","7,880",28
2001,Full-Year Resident,Lewis,United States,New York,Lewis,,"10,518","309,081","8,755","7,092","278,605","9,830","3,426","30,476",,"29,386",832,"39,284","1,386","8,896",29
2001,Full-Year Resident,Livingston,United States,New York,Livingston,,"26,406","941,491","34,216","19,239","889,675","35,788","7,167","51,816",,"35,654","1,296","46,243","1,860","7,230",30
2001,Full-Year Resident,Madison,United States,New York,Madison,,"28,230","1,068,500","40,161","20,369","1,007,532","42,154","7,861","60,968",,"37,850","1,423","49,464","2,070","7,756",31
2001,Full-Year Resident,Monroe,United States,New York,Monroe,,"330,062","14,254,895","596,503","241,790","13,611,070","613,940","88,272","643,825",,"43,189","1,807","56,293","2,539","7,294",32
2001,Full-Year Resident,Montgomery,United States,New York,Montgomery,,"21,893","688,779","22,788","14,785","630,510","24,588","7,108","58,269",,"31,461","1,041","42,645","1,663","8,198",33
2001,Full-Year Resident,Nassau,United States,New York,Nassau,,"640,076","47,447,501","2,354,853","487,701","46,345,059","2,373,619","152,375","1,102,442",,"74,128","3,679","95,028","4,867","7,235",34
2001,Full-Year Resident,Niagara,United States,New York,Niagara,,"95,280","3,273,205","120,406","67,362","3,081,339","125,347","27,918","191,866",,"34,354","1,264","45,743","1,861","6,872",35
2001,Full-Year Resident,Oneida,United States,New York,Oneida,,"98,278","3,316,510","120,404","67,741","3,093,463","126,353","30,537","223,047",,"33,746","1,225","45,666","1,865","7,304",36
2001,Full-Year Resident,Onondaga,United States,New York,Onondaga,,"199,010","8,330,696","343,502","144,588","7,939,742","354,663","54,422","390,953",,"41,861","1,726","54,913","2,453","7,184",37
2001,Full-Year Resident,Ontario,United States,New York,Ontario,,"44,898","1,829,734","72,764","33,249","1,744,450","75,118","11,649","85,284",,"40,753","1,621","52,466","2,259","7,321",38
2001,Full-Year Resident,Orange,United States,New York,Orange,,"139,641","6,755,343","265,876","105,432","6,491,208","273,186","34,209","264,135",,"48,377","1,904","61,568","2,591","7,721",39
2001,Full-Year Resident,Orleans,United States,New York,Orleans,,"17,145","540,645","17,677","11,977","500,132","18,875","5,168","40,513",,"31,534","1,031","41,758","1,576","7,839",40
2001,Full-Year Resident,Oswego,United States,New York,Oswego,,"49,453","1,661,357","57,892","34,879","1,553,222","60,820","14,574","108,134",,"33,595","1,171","44,532","1,744","7,420",41
2001,Full-Year Resident,Otsego,United States,New York,Otsego,,"24,572","812,722","28,266","16,640","751,896","29,936","7,932","60,826",,"33,075","1,150","45,186","1,799","7,668",42
2001,Full-Year Resident,Putnam,United States,New York,Putnam,,"43,040","2,754,789","122,988","34,901","2,686,300","123,547","8,139","68,490",,"64,005","2,858","76,969","3,540","8,415",43
2001,Full-Year Resident,Rensselaer,United States,New York,Rensselaer,,"67,226","2,565,755","98,238","49,645","2,437,323","101,649","17,581","128,431",,"38,166","1,461","49,095","2,048","7,305",44
2001,Full-Year Resident,Rockland,United States,New York,Rockland,,"125,498","7,765,130","329,104","95,660","7,529,801","333,905","29,838","235,329",,"61,875","2,622","78,714","3,491","7,887",45
2001,Full-Year Resident,St. Lawrence,United States,New York,St. Lawrence,,"39,779","1,250,353","41,102","26,355","1,145,593","44,262","13,424","104,760",,"31,432","1,033","43,468","1,679","7,804",46
2001,Full-Year Resident,Saratoga,United States,New York,Saratoga,,"92,202","4,301,251","186,063","71,873","4,167,098","188,845","20,329","134,153",,"46,650","2,018","57,979","2,627","6,599",47
2001,Full-Year Resident,Schenectady,United States,New York,Schenectady,,"67,686","2,748,686","112,710","49,079","2,618,533","115,722","18,607","130,153",,"40,609","1,665","53,353","2,358","6,995",48
2001,Full-Year Resident,Schoharie,United States,New York,Schoharie,,"12,737","421,551","14,465","8,912","392,318","15,224","3,825","29,233",,"33,097","1,136","44,021","1,708","7,643",49
2001,Full-Year Resident,Schuyler,United States,New York,Schuyler,,"7,872","248,784","8,180","5,428","230,393","8,670","2,444","18,391",,"31,604","1,039","42,445","1,597","7,525",50
2001,Full-Year Resident,Seneca,United States,New York,Seneca,,"14,029","437,759","14,286","9,495","401,696","15,292","4,534","36,064",,"31,204","1,018","42,306","1,611","7,954",51
2001,Full-Year Resident,Steuben,United States,New York,Steuben,,"41,528","1,579,800","60,767","28,324","1,475,883","63,500","13,204","103,917",,"38,042","1,463","52,107","2,242","7,870",52
2001,Full-Year Resident,Suffolk,United States,New York,Suffolk,,"651,624","37,966,618","1,733,834","503,327","36,889,111","1,754,167","148,297","1,077,507",,"58,265","2,661","73,291","3,485","7,266",53
2001,Full-Year Resident,Sullivan,United States,New York,Sullivan,,"29,807","1,012,966","35,443","19,869","933,585","37,659","9,938","79,380",,"33,984","1,189","46,987","1,895","7,988",54
2001,Full-Year Resident,Tioga,United States,New York,Tioga,,"21,714","784,186","27,254","15,447","725,378","28,400","6,267","58,809",,"36,114","1,255","46,959","1,839","9,384",55
2001,Full-Year Resident,Tompkins,United States,New York,Tompkins,,"34,758","1,493,756","62,816","26,178","1,430,514","64,225","8,580","63,243",,"42,976","1,807","54,646","2,453","7,371",56
2001,Full-Year Resident,Ulster,United States,New York,Ulster,,"75,884","2,974,422","117,288","54,718","2,823,968","120,618","21,166","150,453",,"39,197","1,546","51,609","2,204","7,108",57
2001,Full-Year Resident,Warren,United States,New York,Warren,,"29,188","1,104,464","43,083","20,612","1,044,194","44,501","8,576","60,270",,"37,840","1,476","50,660","2,159","7,028",58
2001,Full-Year Resident,Washington,United States,New York,Washington,,"24,926","780,430","24,272","17,266","718,076","25,948","7,660","62,355",,"31,310",974,"41,589","1,503","8,140",59
2001,Full-Year Resident,Wayne,United States,New York,Wayne,,"41,601","1,556,551","57,673","30,643","1,472,659","60,025","10,958","83,892",,"37,416","1,386","48,059","1,959","7,656",60
2001,Full-Year Resident,Westchester,United States,New York,Westchester,,"419,491","43,078,539","2,231,360","319,020","42,301,860","2,249,360","100,471","776,679",,"102,692","5,319","132,599","7,051","7,730",61
2001,Full-Year Resident,Wyoming,United States,New York,Wyoming,,"17,471","564,017","18,146","12,579","522,143","19,593","4,892","41,875",,"32,283","1,039","41,509","1,558","8,560",62
2001,Full-Year Resident,Yates,United States,New York,Yates,,"10,029","315,829","10,155","6,616","285,271","11,023","3,413","30,559",,"31,492","1,013","43,118","1,666","8,954",63
2001,Full-Year Resident,"Total, Counties Outside of New York City",United States,New York,"Total, Counties Outside of New York City",,"4,806,455","252,994,384","11,217,710","3,539,983","243,632,953","11,443,039","1,266,472","9,361,431",,"52,636","2,334","68,823","3,233","7,392",64
2001,Full-Year Resident,NYS Unclassified +,United States,New York,NYS Unclassified +,,"7,103","333,786","14,541","5,664","322,241","14,906","1,439","11,546",,"46,992","2,047","56,893","2,632","8,024",65
2001,Full-Year Resident,Residence Unknown ++,United States,New York,Residence Unknown ++,,"21,297","1,439,078","68,594","17,143","1,403,495","69,164","4,154","35,582",,"67,572","3,221","81,870","4,035","8,566",66
2001,Full-Year Resident,"Grand Total, Full-Year Resident",United States,New York,"Grand Total, Full-Year Resident",,"8,037,071","424,894,887","18,829,167","5,699,461","405,734,367","19,402,042","2,337,610","19,160,520","-572,875","52,867","2,343","71,188","3,404","8,197",67
2001,Full-Year Nonresident,Arizona,United States,Arizona,All,,"2,408","577,737","6,070","1,777","495,387","6,071",631,"82,350",,"239,924","2,521","278,777","3,416","130,507",102
2001,Full-Year Nonresident,California,United States,California,All,,"18,810","15,709,221","68,751","14,427","12,022,410","68,883","4,383","3,686,811",,"835,153","3,655","833,327","4,775","841,162",104
2001,Full-Year Nonresident,Colorado,United States,Colorado,All,,"2,353","1,078,818","7,397","1,792","803,821","7,398",561,"274,998",,"458,486","3,144","448,561","4,128","490,193",105
2001,Full-Year Nonresident,Connecticut,United States,Connecticut,All,,"63,096","21,617,498","680,807","58,753","20,559,570","680,867","4,343","1,057,927",,"342,613","10,790","349,932","11,589","243,594",106
2001,Full-Year Nonresident,Delaware,United States,Delaware,All,,"1,045","208,940","3,017",851,"194,873","3,017",194,"14,067",,"199,943","2,887","228,993","3,545","72,510",107
2001,Full-Year Nonresident,District of Columbia,United States,District of Columbia,All,,"1,508","1,215,152","11,964","1,253","1,031,609","11,964",255,"183,543",,"805,804","7,934","823,311","9,548","719,776",108
2001,Full-Year Nonresident,Florida,United States,Florida,All,,"24,409","8,059,731","87,562","18,098","6,576,534","87,752","6,311","1,483,197",,"330,195","3,587","363,385","4,849","235,018",109
2001,Full-Year Nonresident,Georgia,United States,Georgia,All,,"7,282","1,395,792","8,070","3,206","1,063,780","8,072","4,076","332,011",,"191,677","1,108","331,809","2,518","81,455",110
2001,Full-Year Nonresident,Illinois,United States,Illinois,All,,"6,621","5,719,934","25,078","5,628","4,670,723","25,078",993,"1,049,212",,"863,908","3,788","829,908","4,456","1,056,608",113
2001,Full-Year Nonresident,Indiana,United States,Indiana,All,,"1,057","363,734","1,499",860,"306,779","1,499",197,"56,955",,"344,119","1,418","356,720","1,743","289,112",114
2001,Full-Year Nonresident,Maine,United States,Maine,All,,"1,438","214,147","2,718","1,177","178,842","2,718",261,"35,305",,"148,920","1,890","151,947","2,309","135,268",119
2001,Full-Year Nonresident,Maryland,United States,Maryland,All,,"5,333","1,979,449","17,238","4,215","1,641,916","17,324","1,118","337,533",,"371,170","3,232","389,541","4,110","301,908",120
2001,Full-Year Nonresident,Massachusetts,United States,Massachusetts,All,,"11,696","5,138,123","36,194","9,859","3,640,109","36,197","1,837","1,498,013",,"439,306","3,095","369,217","3,671","815,467",121
2001,Full-Year Nonresident,Michigan,United States,Michigan,All,,"2,455","1,281,211","5,476","1,949","904,233","5,494",506,"376,978",,"521,878","2,231","463,947","2,819","745,016",122
2013,Full-Year Resident,Delaware,United States,New York,Delaware,,"19,242","725,114.94","24,598.75","11,632","663,280.10","27,685.89","7,610","61,834.85","-3,087.14","37,684","1,278","57,022","2,380","8,125",18
2001,Full-Year Nonresident,Minnesota,United States,Minnesota,All,,"1,362","768,695","3,610","1,119","647,183","3,610",243,"121,513",,"564,387","2,651","578,358","3,226","500,053",123
2001,Full-Year Nonresident,Missouri,United States,Missouri,All,,"1,355","485,298","1,970","1,076","380,817","1,970",279,"104,482",,"358,154","1,454","353,919","1,831","374,487",125
2001,Full-Year Nonresident,Nevada,United States,Nevada,All,,"1,059","701,652","3,985",771,"351,679","3,986",288,"349,973",,"662,561","3,763","456,134","5,170","1,215,184",128
2001,Full-Year Nonresident,New Hampshire,United States,New Hampshire,All,,"1,632","553,769","4,005","1,329","483,710","4,008",303,"70,059",,"339,319","2,454","363,965","3,016","231,218",129
2001,Full-Year Nonresident,New Jersey,United States,New Jersey,All,,"322,790","48,219,071","1,711,632","301,284","46,576,514","1,711,698","21,506","1,642,556",,"149,382","5,303","154,593","5,681","76,377",130
